fixed_acidity,volatile_acidity,citric_acid,residual_sugar,alcohol,free_sulfur_dioxide
7.5,0.63,0.27,2,9.8,17
9.1,0.76,0.68,1.7,9.1,18
9.7,0.66,0.34,2.6,10.1,12
5,0.74,0,1.2,12.5,16
9.1,0.34,0.42,1.8,11.4,9
9.1,0.36,0.39,1.8,11,21
6.7,0.46,0.24,1.7,10.6,18
6.7,0.46,0.24,1.7,10.6,18
6.7,0.46,0.24,1.7,10.6,18
6.7,0.46,0.24,1.7,10.6,18
6.5,0.52,0.11,1.8,9.3,13
7.4,0.6,0.26,2.1,9.8,17
7.4,0.6,0.26,2.1,9.8,17
7.8,0.87,0.26,3.8,9.2,31
8.4,0.39,0.1,1.7,9.7,6
9.1,0.775,0.22,2.2,9.6,12
7.2,0.835,0,2,10,4
6.6,0.58,0.02,2.4,12.6,19
6,0.5,0,1.4,9.5,15
6,0.5,0,1.4,9.5,15
6,0.5,0,1.4,9.5,15
7.5,0.51,0.02,1.7,10.5,13
7.5,0.51,0.02,1.7,10.5,13
7.5,0.51,0.02,1.7,10.5,13
7.6,0.54,0.02,1.7,10.4,17
7.5,0.51,0.02,1.7,10.5,13
11.5,0.42,0.48,2.6,11,8
8.2,0.44,0.24,2.3,10.2,10
6.1,0.59,0.01,2.1,11.4,5
7.2,0.655,0.03,1.8,9.5,7
7.2,0.655,0.03,1.8,9.5,7
6.9,0.57,0,2.8,10.8,21
9,0.6,0.29,2,10,32
7.2,0.62,0.01,2.3,11.8,8
7.6,0.645,0.03,1.9,10.3,14
7.6,0.645,0.03,1.9,10.3,14
7.2,0.58,0.03,2.3,10,7
6.1,0.32,0.25,1.8,10.1,5
6.1,0.34,0.25,1.8,10.1,4
7.3,0.43,0.24,2.5,11.1,27
7.4,0.64,0.17,5.4,9.5,52
11.6,0.475,0.4,1.4,10.03333333,6
9.2,0.54,0.31,2.3,10.9,11
8.3,0.85,0.14,2.5,10.1,13
11.6,0.475,0.4,1.4,10.03333333,6
8,0.83,0.27,2,9.8,11
7.2,0.605,0.02,1.9,11.8,10
7.8,0.5,0.09,2.2,9.5,10
7.3,0.74,0.08,1.7,9.8,10
6.9,0.54,0.3,2.2,10.5,9
8,0.77,0.32,2.1,9.8,16
6.6,0.61,0,1.6,10.4,4
8.7,0.78,0.51,1.7,9.2,12
7.5,0.58,0.56,3.1,11.6,5
8.7,0.78,0.51,1.7,9.2,12
7.7,0.75,0.27,3.8,9.3,34
6.8,0.815,0,1.2,9.8,16
7.2,0.56,0.26,2,9.9,13
8.2,0.885,0.2,1.4,10,7
5.2,0.49,0.26,2.3,12.2,23
7.2,0.45,0.15,2,9.9,10
7.5,0.57,0.02,2.6,10.8,11
7.5,0.57,0.02,2.6,10.8,11
6.8,0.83,0.09,1.8,9.6,4
8,0.6,0.22,2.1,9.9,25
8,0.6,0.22,2.1,9.9,25
7.1,0.755,0.15,1.8,9.5,20
8,0.81,0.25,3.4,9.2,34
7.4,0.64,0.07,1.8,9.6,8
7.4,0.64,0.07,1.8,9.6,8
6.6,0.64,0.31,6.1,10.3,7
6.7,0.48,0.02,2.2,9.7,36
6,0.49,0,2.3,12.5,15
8,0.64,0.22,2.4,11,5
7.1,0.62,0.06,1.3,9.8,5
8,0.52,0.25,2,10.2,19
6.4,0.57,0.14,3.9,9.2,27
8.6,0.685,0.1,1.6,9.55,3
8.7,0.675,0.1,1.6,9.55,4
7.3,0.59,0.26,2,9.9,17
7,0.6,0.12,2.2,10.2,13
7.2,0.67,0,2.2,11.1,10
7.9,0.69,0.21,2.1,9.9,33
7.9,0.69,0.21,2.1,9.9,33
7.6,0.3,0.42,2,11.9,6
7.2,0.33,0.33,1.7,10,3
8,0.5,0.39,2.6,10.7,12
7.7,0.28,0.3,2,11.3,18
8.2,0.24,0.34,5.1,10.9,8
6,0.51,0,2.1,10.7,40
8.1,0.29,0.36,2.2,12.4,35
6,0.51,0,2.1,10.7,40
6.6,0.96,0,1.8,11.9,5
6.4,0.47,0.4,2.4,10.6,8
8.2,0.24,0.34,5.1,10.9,8
9.9,0.57,0.25,2,10.1,12
10,0.32,0.59,2.2,9.6,3
6.2,0.58,0,1.6,9.4,8
10,0.32,0.59,2.2,9.6,3
7.3,0.34,0.33,2.5,12.1,21
7.8,0.53,0.01,1.6,9.8,3
7.7,0.64,0.21,2.2,9.9,32
7.8,0.53,0.01,1.6,9.8,3
7.5,0.4,0.18,1.6,9.4,24
7,0.54,0,2.1,11.4,39
6.4,0.53,0.09,3.9,11,14
8.3,0.26,0.37,1.4,9.6,8
8.3,0.26,0.37,1.4,9.6,8
7.7,0.23,0.37,1.8,12.1,23
7.6,0.41,0.33,2.5,11.2,6
7.8,0.64,0,1.9,11,27
7.9,0.18,0.4,2.2,11.3,38
7.4,0.41,0.24,1.8,10.4,18
7.6,0.43,0.31,2.1,9.9,13
5.9,0.44,0,1.6,11.7,3
6.1,0.4,0.16,1.8,10.1,11
10.2,0.54,0.37,15.4,9,55
10.2,0.54,0.37,15.4,9,55
10,0.38,0.38,1.6,8.5,27
6.8,0.915,0.29,4.8,11.1,15
7,0.59,0,1.7,10.3,3
7.3,0.67,0.02,2.2,11.06666667,31
7.2,0.37,0.32,2,11.3,15
7.4,0.785,0.19,5.2,9.566666667,19
6.9,0.63,0.02,1.9,9.8,18
6.9,0.58,0.2,1.75,11.7,8
7.3,0.67,0.02,2.2,11.1,31
7.4,0.785,0.19,5.2,9.6,19
6.9,0.63,0.02,1.9,9.8,18
6.8,0.67,0,1.9,9.7,22
6.9,0.58,0.01,1.9,9.7,40
7.2,0.38,0.31,2,11.3,15
7.2,0.37,0.32,2,11.3,15
7.8,0.32,0.44,2.7,11,8
6.6,0.58,0.02,2,11.6,37
7.6,0.49,0.33,1.9,9,27
11.7,0.45,0.63,2.2,10.9,7
6.5,0.9,0,1.6,10.9,9
6,0.54,0.06,1.8,10.55,38
7.6,0.49,0.33,1.9,9,27
8.4,0.29,0.4,1.7,10.5,8
7.9,0.2,0.35,1.7,11.9,7
6.4,0.42,0.09,2.3,10.4,34
6.2,0.785,0,2.1,10,6
6.8,0.64,0.03,2.3,10.4,14
6.9,0.63,0.01,2.4,10.8,14
6.8,0.59,0.1,1.7,9.7,34
6.8,0.59,0.1,1.7,9.7,34
7.3,0.48,0.32,2.1,10,31
6.7,1.04,0.08,2.3,11,19
7.3,0.48,0.32,2.1,10,31
7.3,0.98,0.05,2.1,9.7,20
10,0.69,0.11,1.4,9.7,8
6.7,0.7,0.08,3.75,12.6,8
7.6,0.35,0.6,2.6,11.1,23
6.1,0.6,0.08,1.8,11,14
9.9,0.5,0.5,13.8,8.8,48
5.3,0.47,0.11,2.2,13.56666667,16
9.9,0.5,0.5,13.8,8.8,48
5.3,0.47,0.11,2.2,13.6,16
7.1,0.875,0.05,5.7,10.2,3
8.2,0.28,0.6,3,10.6,10
5.6,0.62,0.03,1.5,10.1,6
8.2,0.28,0.6,3,10.6,10
7.2,0.58,0.54,2.1,10.3,3
8.1,0.33,0.44,1.5,10.7,6
6.8,0.91,0.06,2,10.9,4
7,0.655,0.16,2.1,9.7,8
6.8,0.68,0.21,2.1,10.3,9
6,0.64,0.05,1.9,10.6,9
5.6,0.54,0.04,1.7,11.4,5
6.2,0.57,0.1,2.1,10.8,4
7.1,0.22,0.49,1.8,12.4,8
5.6,0.54,0.04,1.7,11.4,5
6.2,0.65,0.06,1.6,11.95,6
7.7,0.54,0.26,1.9,9.7,23
6.4,0.31,0.09,1.4,10,15
7,0.43,0.02,1.9,10.6,15
7.7,0.54,0.26,1.9,9.7,23
6.9,0.74,0.03,2.3,11.5,7
6.6,0.895,0.04,2.3,10.8,7
6.9,0.74,0.03,2.3,11.5,7
7.5,0.725,0.04,1.5,9.6,8
7.8,0.82,0.29,4.3,9.4,21
7.3,0.585,0.18,2.4,9.8,15
6.2,0.44,0.39,2.5,11,6
7.5,0.38,0.57,2.3,11.4,5
6.7,0.76,0.02,1.8,9.95,6
6.8,0.81,0.05,2,10.8,6
7.5,0.38,0.57,2.3,11.4,5
7.1,0.27,0.6,2.1,10.6,17
7.9,0.18,0.4,1.8,11.1,7
6.4,0.36,0.21,2.2,9.7,26
7.1,0.69,0.04,2.1,9.8,19
6.4,0.79,0.04,2.2,10.4,11
6.4,0.56,0.15,1.8,10.5,17
6.9,0.84,0.21,4.1,9.233333333,16
6.9,0.84,0.21,4.1,9.25,16
6.1,0.32,0.25,2.3,10.6,23
6.5,0.53,0.06,2,10.3,29
7.4,0.47,0.46,2.2,10.5,7
6.6,0.7,0.08,2.6,10.2,14
6.5,0.53,0.06,2,10.3,29
6.9,0.48,0.2,1.9,9.05,9
6.1,0.32,0.25,2.3,10.6,23
6.8,0.48,0.25,2,10.4,29
6,0.42,0.19,2,10,22
6.7,0.48,0.08,2.1,9.7,18
6.8,0.47,0.08,2.2,9.6,18
7.1,0.53,0.07,1.7,10.8,15
7.9,0.29,0.49,2.2,10.1,21
7.1,0.69,0.08,2.1,10.2,42
6.6,0.44,0.09,2.2,11.3,9
6.1,0.705,0.1,2.8,10.2,13
7.2,0.53,0.13,2,9.9,18
8,0.39,0.3,1.9,9,32
6.6,0.56,0.14,2.4,11.7,13
7,0.55,0.13,2.2,9.7,15
6.1,0.53,0.08,1.9,10.3,24
5.4,0.58,0.08,1.9,10.2,20
6.2,0.64,0.09,2.5,12,15
7.2,0.39,0.32,1.8,9.9,34
6.2,0.52,0.08,4.4,11.6,11
7.4,0.25,0.29,2.2,10.9,19
6.7,0.855,0.02,1.9,10.75,29
11.1,0.44,0.42,2.2,10.4,14
8.4,0.37,0.43,2.3,11.2,12
6.5,0.63,0.33,1.8,10.1,16
7,0.57,0.02,2,10.2,17
6.3,0.6,0.1,1.6,12.1,12
11.2,0.4,0.5,2,10.4,19
7.4,0.36,0.3,1.8,11.4,17
7.1,0.68,0,2.3,9.5,17
7.1,0.67,0,2.3,9.4,18
6.3,0.68,0.01,3.7,11.3,32
7.3,0.735,0,2.2,9.4,18
6.6,0.855,0.02,2.4,11,15
7,0.56,0.17,1.7,10.55,15
6.6,0.88,0.04,2.2,9.9,12
6.6,0.855,0.02,2.4,11,15
6.9,0.63,0.33,6.7,9.5,66
7.8,0.6,0.26,2,9.9,31
7.8,0.6,0.26,2,9.9,31
7.8,0.6,0.26,2,9.9,31
7.2,0.695,0.13,2,10.1,12
7.2,0.695,0.13,2,10.1,12
7.2,0.695,0.13,2,10.1,12
6.7,0.67,0.02,1.9,10.9,26
6.7,0.16,0.64,2.1,11.2,24
7.2,0.695,0.13,2,10.1,12
7,0.56,0.13,1.6,9.2,25
6.2,0.51,0.14,1.9,11.5,15
6.4,0.36,0.53,2.2,12.4,19
6.4,0.38,0.14,2.2,11.1,15
7.3,0.69,0.32,2.2,9.5,35
6,0.58,0.2,2.4,12.5,15
5.6,0.31,0.78,13.9,10.5,23
7.5,0.52,0.4,2.2,11.8,12
8,0.3,0.63,1.6,10.8,16
6.2,0.7,0.15,5.1,11.9,13
6.8,0.67,0.15,1.8,11.3,13
6.2,0.56,0.09,1.7,11.3,24
7.4,0.35,0.33,2.4,11.9,9
6.2,0.56,0.09,1.7,11.3,24
6.1,0.715,0.1,2.6,11.9,13
6.2,0.46,0.29,2.1,9.8,32
6.7,0.32,0.44,2.4,11.6,24
7.2,0.39,0.44,2.6,11.5,22
7.5,0.31,0.41,2.4,11.4,34
5.8,0.61,0.11,1.8,10.9,18
7.2,0.66,0.33,2.5,12.8,34
6.6,0.725,0.2,7.8,9.2,29
6.3,0.55,0.15,1.8,11.6,26
5.4,0.74,0.09,1.7,11.6,16
6.3,0.51,0.13,2.3,11,29
6.8,0.62,0.08,1.9,9.5,28
6.2,0.6,0.08,2,10.5,32
5.9,0.55,0.1,2.2,11.2,39
6.3,0.51,0.13,2.3,11,29
5.9,0.645,0.12,2,10.2,32
6,0.31,0.47,3.6,11,18
